name,strength,form,route,generic,type,rxcui,schedule
Burning bush pollen extract (Injectable),"20,000 unt/ml",Injectable Solution,Injectable,"burning bush pollen extract 20,000 UNT/mL Injectable Solution",prescription,897995,0
Burning bush pollen extract (Injectable),"40,000 unt/ml",Injectable Solution,Injectable,"burning bush pollen extract 40,000 UNT/mL Injectable Solution",prescription,897998,
Burning bush pollen extract (Injectable),50 mg/ml,Injectable Solution,Injectable,burning bush pollen extract 50 MG/ML Injectable Solution,prescription,852596,
Burrobrush pollen extract (Injectable),100 mg/ml,Injectable Solution,Injectable,burrobrush pollen extract 100 MG/ML Injectable Solution,prescription,897945,
Burrobrush pollen extract (Injectable),50 mg/ml,Injectable Solution,Injectable,burrobrush pollen extract 50 MG/ML Injectable Solution,prescription,852529,
Burweed marshelder pollen extract (Injectable),100 mg/ml,Injectable Solution,Injectable,burweed marshelder pollen extract 100 MG/ML Injectable Solution,prescription,897970,
Burweed marshelder pollen extract (Injectable),50 mg/ml,Injectable Solution,Injectable,burweed marshelder pollen extract 50 MG/ML Injectable Solution,prescription,852554,
busPIRone (Oral Pill),10 mg,Oral Tablet,Oral Pill,busPIRone HCl 10 MG Oral Tablet,prescription,866083,0
busPIRone (Oral Pill),15 mg,Oral Tablet,Oral Pill,busPIRone HCl 15 MG Oral Tablet,prescription,866018,0
busPIRone (Oral Pill),30 mg,Oral Tablet,Oral Pill,busPIRone HCl 30 MG Oral Tablet,prescription,866090,0
busPIRone (Oral Pill),5 mg,Oral Tablet,Oral Pill,busPIRone HCl 5 MG Oral Tablet,prescription,866094,0
busPIRone (Oral Pill),7.5 mg,Oral Tablet,Oral Pill,busPIRone HCl 7.5 MG Oral Tablet,prescription,866111,0
Busulfan (Oral Pill),2 mg,Oral Tablet,Oral Pill,busulfan 2 MG Oral Tablet,prescription,197422,0
Butabarbital (Oral Pill),30 mg,Oral Tablet,Oral Pill,butabarbital sodium 30 MG Oral Tablet,prescription,1251614,3
Butenafine (Topical),1%,Topical Cream,Topical,butenafine HCl 1 % Topical Cream,prescription,1298448,0
Butoconazole (Vaginal),2%,Vaginal Cream,Vaginal,butoconazole nitrate 2 % Vaginal Cream,prescription,890785,0
Butorphanol (Nasal),1 mg/puff,Metered Dose Nasal Spray,Nasal,butorphanol tartrate 10 MG/mL Metered Dose Nasal Spray,prescription,886634,4
Butorphanol (Injectable),2 mg/ml,Injectable Solution,Injectable,butorphanol tartrate 2 MG/ML Injectable Solution,prescription,886622,4
Methylphenidate XR (Oral Pill),18 mg,Extended Release Oral Tablet,Oral Pill,"methylphenidate HCl 18 MG 24HR Extended Release Oral Tablet, BX Rating",prescription,2001564,2
Methylphenidate XR (Oral Pill),27 mg,Extended Release Oral Tablet,Oral Pill,"methylphenidate HCl 27 MG 24HR Extended Release Oral Tablet, BX Rating",prescription,2001565,2
Methylphenidate XR (Oral Pill),36 mg,Extended Release Oral Tablet,Oral Pill,"methylphenidate HCl 36 MG 24HR Extended Release Oral Tablet, BX Rating",prescription,2001566,2
Methylphenidate XR (Oral Pill),54 mg,Extended Release Oral Tablet,Oral Pill,"methylphenidate HCl 54 MG 24HR Extended Release Oral Tablet, BX Rating",prescription,2001568,2
Tacrolimus (Oral Pill),0.5 mg,Oral Capsule,Oral Pill,"tacrolimus 0.5 MG Oral Capsule, BX Rating",prescription,2665161,0
Tacrolimus (Oral Pill),1 mg,Oral Capsule,Oral Pill,"tacrolimus 1 MG Oral Capsule, BX Rating",prescription,2665162,0
Tacrolimus (Oral Pill),5 mg,Oral Capsule,Oral Pill,"tacrolimus 5 MG Oral Capsule, BX Rating",prescription,2665163,0
C1 esterase inhibitor (Injectable),"2,000 unt",Injection,Injectable,C1 esterase inhibitor (human) 2000 UNT Injection,prescription,1926818,0
C1 esterase inhibitor (Injectable),"3,000 unt",Injection,Injectable,C1 esterase inhibitor (human) 3000 UNT Injection,prescription,1926825,0
C1 esterase inhibitor (Injectable),500 unt,Injection,Injectable,C1 esterase inhibitor (human) 500 UNT Injection,prescription,1729336,0
C1 esterase inhibitor (Injectable),"2,100 unt",Injection,Injectable,C1 esterase inhibitor (recombinant) 2100 UNT Injection,prescription,1599836,0
Cabergoline (Oral Pill),0.5 mg,Oral Tablet,Oral Pill,cabergoline 0.5 MG Oral Tablet,prescription,199703,0
Cabotegravir (Oral Pill),30 mg,Oral Tablet,Oral Pill,cabotegravir 30 MG Oral Tablet,prescription,2475199,0
Cabozantinib (Oral Pill),20 mg,Oral Capsule,Oral Pill,cabozantinib 20 MG Oral Capsule,prescription,1363273,0
Cabozantinib (Oral Pill),20 mg,Oral Tablet,Oral Pill,cabozantinib 20 MG Oral Tablet,prescription,1790161,0
Cabozantinib (Oral Pill),40 mg,Oral Tablet,Oral Pill,cabozantinib 40 MG Oral Tablet,prescription,1790169,0
Cabozantinib (Oral Pill),60 mg,Oral Tablet,Oral Pill,cabozantinib 60 MG Oral Tablet,prescription,1790173,0
Cabozantinib (Oral Pill),80 mg,Oral Capsule,Oral Pill,cabozantinib 80 MG Oral Capsule,prescription,1363281,
Cadexomer iodine (Topical),0.9%,Topical Gel,Topical,cadexomer iodine 0.9 % Topical Gel,prescription,308852,0
Cadexomer iodine (Topical),0.9%,Medicated Pad,Topical,cadexomer iodine 0.9 % Medicated Pad,prescription,797738,0
Caffeine/Ergotamine (Oral Pill),100-1 mg,Oral Tablet,Oral Pill,ergotamine tartrate 1 MG / caffeine 100 MG Oral Tablet,prescription,1293504,0
Caffeine/Ergotamine (Rectal),100-2 mg,Rectal Suppository,Rectal,ergotamine tartrate 2 MG / caffeine 100 MG Rectal Suppository,prescription,1293508,0
Caffeine (Oral Pill),100 mg,Oral Tablet,Oral Pill,caffeine 100 MG Oral Tablet,prescription,308853,0
Caffeine (Chewable),200 mg,Chewing Gum,Chewable,caffeine 200 MG Chewing Gum,prescription,605094,0
Caffeine (Oral Pill),200 mg,Oral Tablet,Oral Pill,caffeine 200 MG Oral Tablet,prescription,198520,0
Caffeine/Magnesium salicylate (Oral Pill),50-162.5 mg,Oral Tablet,Oral Pill,caffeine 50 MG / magnesium salicylate 162.5 MG Oral Tablet,prescription,1001437,0
Caffeine (Oral Liquid),20 mg/ml,Oral Solution,Oral Liquid,caffeine citrate 60 MG in 3 mL Oral Solution,prescription,849928,0
Calamine/Menthol/Zinc oxide (Topical),2-0.45-18%,Topical Ointment,Topical,calamine 2 % / menthol 0.45 % / zinc oxide 18 % Topical Ointment,prescription,1373249,
Calamine/Menthol/Petrolatum/Zinc oxide (Paste),3.5-0.2-69-16.5%,Paste,Paste,calamine 3.5 % / menthol 0.2 % / petrolatum 69 % / zinc oxide 16.5 % Topical Paste,prescription,1921772,0
Calamine/diphenhydrAMINE (Topical),14-2%,Topical Cream,Topical,calamine 14 % / diphenhydrAMINE HCl 2 % Topical Cream,prescription,1232642,0
Calamine/Pramoxine (Topical),3-1%,Topical Cream,Topical,calamine 3 % / pramoxine HCl 1 % Topical Cream,prescription,1233694,0
Calamine/Pramoxine (Topical),3-1%,Topical Lotion,Topical,calamine 3 % / pramoxine HCl 1 % Topical Lotion,prescription,1233698,0
Calamine/Pramoxine/Zinc oxide (Topical),0.4-1-0.4%,Topical Cream,Topical,pramoxine HCl 1 % / zinc oxide 0.4 % / calamine 0.4 % Topical Cream,prescription,1798481,0
Calamine/Pramoxine/Zinc oxide (Topical),0.4-1-0.4%,Topical Lotion,Topical,calamine 0.4 % / pramoxine HCl 1 % / zinc oxide 0.4 % Topical Lotion,prescription,1804185,0
Calamine/Phenol/Zinc oxide (Topical),8-1-8%,Topical Lotion,Topical,calamine 8 % / phenol 1 % / zinc oxide 8 % Topical Lotion,prescription,991369,
Calamine/Pramoxine (Topical),8-1%,Topical Lotion,Topical,calamine 8 % / pramoxine HCl 1 % Topical Lotion,prescription,1234532,0
Calamine/Pramoxine (Topical),8-1%,Topical Spray,Topical,calamine 8 % / pramoxine HCl 1 % Topical Spray,prescription,1544717,0
Calamine/Zinc oxide (Topical),8-8%,Topical Lotion,Topical,calamine 8 % / zinc oxide 8 % Topical Lotion,prescription,617954,0
Calcipotriene (Topical),0.005%,Topical Ointment,Topical,calcipotriene 0.005 % Topical Ointment,prescription,198373,0
Calcipotriene (Topical),0.005%,Topical Cream,Topical,calcipotriene 0.005 % Topical Cream,prescription,313921,0
Calcipotriene (Topical),0.005%,Topical Foam,Topical,calcipotriene 0.005 % Topical Foam,prescription,1020035,0
Calcipotriene (Topical),0.005%,Topical Solution,Topical,calcipotriene 0.005 % Topical Solution,prescription,308865,0
Calcitriol (Topical),0.0003%,Topical Ointment,Topical,calcitriol 0.0003 % Topical Ointment,prescription,388517,0
Calcitriol (Oral Pill),0.25 mcg,Oral Capsule,Oral Pill,calcitriol 0.25 MCG Oral Capsule,prescription,308867,0
Calcitriol (Oral Pill),0.5 mcg,Oral Capsule,Oral Pill,calcitriol 0.5 MCG Oral Capsule,prescription,308868,0
Calcitriol (Oral Liquid),1 mcg/ml,Oral Solution,Oral Liquid,calcitriol 1 MCG in 1 mL Oral Solution,prescription,313932,0
Calcium acetate (Oral Liquid),665 mg/5ml,Oral Solution,Oral Liquid,calcium acetate 667 MG in 5 mL Oral Solution,prescription,1099804,0
Calcium acetate/Magnesium acetate/Potassium acetate/Potassium chloride/Sodium acetate/Sodium gluconate (Injectable),22-43-34.5-125-135-55 mg/ml,Injectable Solution,Injectable,calcium acetate 22 MG/ML / magnesium acetate 43 MG/ML / potassium acetate 34.5 MG/ML / potassium chloride 125 MG/ML / sodium acetate 135 MG/ML / sodium gluconate 55 MG/ML Injectable Solution,prescription,1547445,
Calcium acetate (Oral Pill),667 mg,Oral Capsule,Oral Pill,calcium acetate 667 MG (Ca 169 MG) Oral Capsule,prescription,359296,0
Calcium acetate (Oral Pill),667 mg,Oral Tablet,Oral Pill,"calcium 169 MG Oral Tablet, as calcium acetate",prescription,197433,0
Calcium acetate (Oral Pill),668 mg,Oral Tablet,Oral Pill,"calcium 167 MG Oral Tablet, as calcium acetate",prescription,428703,0
Calcium ascorbate/Calcium threonate/Ferrous asparto glycinate/Liver stomach concentrate/Succinic acid/Vitamin B12 (Oral Pill),150-2-70-50-75-0.01 mg,Oral Tablet,Oral Pill,calcium ascorbate 150 MG / calcium threonate 2 MG / ferrous asparto glycinate 70 MG / liver stomach concentrate 50 MG / succinic acid 75 MG / vitamin B12 0.01 MG Oral Tablet,prescription,802759,
Calcium ascorbate/Ferrous asparto glycinate/Polysaccharide iron complex/Succinic acid (Oral Pill),50-50-100-50 mg,Oral Capsule,Oral Pill,calcium ascorbate 50 MG / ferrous asparto glycinate 50 MG / polysaccharide iron complex 100 MG / succinic acid 50 MG Oral Capsule,prescription,996029,
Calcium ascorbate (Oral Pill),500 mg,Oral Tablet,Oral Pill,ascorbate calcium 500 MG (Ca 75 MG) Oral Tablet,prescription,830785,
Calcium ascorbate/Calcium threonate/Ferrous asparto glycinate/Ferrous fumarate/Folic acid/Succinic acid/Vitamin B12 (Oral Pill),60-0.8-50-101-1-50-0.01 mg,Oral Tablet,Oral Pill,calcium ascorbate 60 MG / calcium threonate 0.8 MG / ferrous asparto glycinate 50 MG / ferrous fumarate 101 MG / folic acid 1 MG / succinic acid 50 MG / vitamin B12 0.01 MG Oral Tablet,prescription,802503,
Calcium ascorbate/Calcium threonate/Ferrous asparto glycinate/Folic acid/Polysaccharide iron complex/Succinic acid/Vitamin B12 (Oral Pill),60-0.8-50-1-100-50-0.025 mg,Oral Capsule,Oral Pill,calcium ascorbate 60 MG / calcium threonate 0.8 MG / ferrous asparto glycinate 50 MG / folic acid 1 MG / polysaccharide iron complex 100 MG / succinic acid 50 MG / vitamin B12 0.025 MG Oral Capsule,prescription,1087245,0
Calcium carbonate/Magnesium hydroxide/Simethicone (Chewable),"1,000-200-40 mg",Chewable Tablet,Chewable,calcium carbonate 1000 MG / magnesium hydroxide 200 MG / simethicone 40 MG Chewable Tablet,prescription,1649510,0
Calcium carbonate/Magnesium hydroxide (Chewable),"1,000-200 mg",Chewable Tablet,Chewable,calcium carbonate 1000 MG / magnesium hydroxide 200 MG Chewable Tablet,prescription,1438105,0
Calcium carbonate/Magnesium hydroxide/Simethicone (Chewable),"1,000-270-80 mg",Chewable Tablet,Chewable,calcium carbonate 1000 MG / magnesium hydroxide 270 MG / dimethicone 80 MG Chewable Tablet,prescription,2556794,0
Calcium carbonate/Simethicone (Chewable),"1,000-60 mg",Chewable Tablet,Chewable,calcium carbonate 1000 MG (Ca 400 MG) / simethicone 60 MG Chewable Tablet,prescription,403828,0
Calcium carbonate (Chewable),"1,000 mg",Chewable Tablet,Chewable,calcium carbonate 1000 MG (Ca 400 MG) Chewable Tablet,prescription,308892,0
Calcium carbonate (Oral Powder),1 g,Oral Powder,Oral Powder,calcium carbonate 1000 MG (Ca 400 MG) Oral Powder,prescription,866486,0
Calcium carbonate/Folic acid/Vitamin B complex XR (Oral Pill),115-0.4-50 mg,Extended Release Oral Tablet,Oral Pill,calcium carbonate 115 MG / folic acid 0.4 MG / vitamin B complex 50 MG Extended Release Oral Tablet,prescription,577049,
Calcium carbonate (Chewable),"1,177 mg",Chewable Tablet,Chewable,calcium carbonate 1177 MG (Ca 470 MG) Chewable Tablet,prescription,1432465,0
Calcium carbonate/Magnesium chloride (Oral Pill),118-71 mg,Delayed Release Oral Tablet,Oral Pill,calcium carbonate 118 MG / magnesium chloride 71 MG Delayed Release Oral Tablet,prescription,2603520,0
Calcium carbonate/Prasterone (Oral Pill),118-10 mg,Oral Tablet,Oral Pill,"calcium 47 MG / dehydroepiandrosterone 10 MG Oral Tablet, as calcium carbonate",prescription,1302636,
Calcium carbonate/Magnesium hydroxide/Simethicone (Oral Liquid),120-27-8 mg/ml,Oral Suspension,Oral Liquid,calcium carbonate 1200 MG / magnesium hydroxide 270 MG / simethicone 80 MG per 10 mL Oral Suspension,prescription,2281844,0
Calcium carbonate/Cholecalciferol (Chewable),"1,250-0.01 mg",Chewable Tablet,Chewable,"calcium 500 MG / vitamin D3 10 MCG (400 UNT) Chewable Tablet, as calcium carbonate",prescription,386989,0
Calcium carbonate/Cholecalciferol (Oral Pill),"1,250-0.01 mg",Oral Tablet,Oral Pill,"calcium 500 MG / vitamin D3 10 MCG (400 UNT) Oral Tablet, as calcium carbonate",prescription,152770,0
Calcium carbonate/Cholecalciferol/Vitamin K (Chewable),"1,250-100-0.04 var units",Chewable Tablet,Chewable,"calcium 500 MG / vitamin D3 100 UNT / vitamin K 40 MCG Chewable Tablet, as calcium carbonate",prescription,1244936,0
Calcium carbonate/Cholecalciferol/Vitamin K1 (Chewable),"1,250-100-0.04 var units",Chewable Tablet,Chewable,"calcium 500 MG / vitamin D3 100 UNT / vitamin K1 40 MCG Chewable Tablet, as calcium carbonate",prescription,1001691,
Calcium carbonate/Cholecalciferol (Chewable),"1,250-100 var units",Chewable Tablet,Chewable,"calcium 500 MG / vitamin D3 100 UNT Chewable Tablet, as calcium carbonate",prescription,832909,0
Calcium carbonate/Cholecalciferol/Vitamin K (Chewable),"1,250-1,000-0.4 var units",Chewable Tablet,Chewable,"calcium 500 MG / vitamin D3 1000 UNT / phytonadione 40 MCG Chewable Tablet, as calcium carbonate",prescription,1362805,
Calcium carbonate/Cholecalciferol/Vitamin K1 (Chewable),"1,250-200-0.04 var units",Chewable Tablet,Chewable,"calcium 500 MG / vitamin D3 200 UNT / vitamin K1 40 MCG Chewable Tablet, as calcium carbonate",prescription,829758,
Calcium carbonate/Cholecalciferol (Oral Pill),"1,250-200 var units",Oral Tablet,Oral Pill,"calcium 500 MG / vitamin D3 5 MCG (200 UNT) Oral Tablet, as calcium carbonate",prescription,809536,0
Calcium carbonate/Cholecalciferol/Vitamin K1 (Chewable),"1,250-500-0.04 var units",Chewable Tablet,Chewable,"calcium 500 MG / vitamin D3 500 UNT / vitamin K1 40 MCG Chewable Tablet, as calcium carbonate",prescription,829759,
Calcium carbonate/Cholecalciferol (Chewable),"1,250-600 var units",Chewable Tablet,Chewable,"calcium 500 MG / vitamin D3 600 UNT Chewable Tablet, as calcium carbonate",prescription,994831,
Calcium carbonate/Cholecalciferol (Oral Pill),"1,250-600 var units",Oral Tablet,Oral Pill,"calcium 500 MG / vitamin D3 600 UNT Oral Tablet, as calcium carbonate",prescription,1233607,0
Calcium carbonate (Chewable),"1,250 mg",Chewable Tablet,Chewable,calcium carbonate 1250 MG (Ca 500 MG) Chewable Tablet,prescription,359297,0
Calcium carbonate (Oral Pill),"1,250 mg",Oral Tablet,Oral Pill,"calcium 500 MG Oral Tablet, as calcium carbonate",prescription,282465,0
Calcium carbonate/Magnesium hydroxide/Simethicone (Chewable),"1,330-235-40 mg",Chewable Tablet,Chewable,calcium carbonate 1330 MG / magnesium hydroxide 235 MG / simethicone 40 MG Chewable Tablet,prescription,2282016,
Calcium carbonate/Magnesium hydroxide (Chewable),"1,330-235 mg",Chewable Tablet,Chewable,calcium carbonate 1330 MG / magnesium hydroxide 235 MG Chewable Tablet,prescription,1607295,
Calcium carbonate/Prasterone (Oral Pill),150-50 mg,Oral Tablet,Oral Pill,"calcium 60 MG / dehydroepiandrosterone 50 MG Oral Tablet, as calcium carbonate",prescription,1302637,
Calcium carbonate/Cholecalciferol (Oral Pill),"1,500-0.01 mg",Oral Capsule,Oral Pill,"calcium 600 MG / vitamin D3 10 MCG (400 UNT) Oral Capsule, as calcium carbonate",prescription,832910,
Calcium carbonate/Cholecalciferol (Oral Pill),"1,500-0.01 mg",Oral Tablet,Oral Pill,"calcium 600 MG / vitamin D3 10 MCG (400 UNT) Oral Tablet, as calcium carbonate",prescription,428485,0
Calcium carbonate/Cholecalciferol (Oral Pill),"1,500-1,000 var units",Oral Capsule,Oral Pill,"calcium 600 MG / vitamin D3 1000 UNT Oral Capsule, as calcium carbonate",prescription,1100894,
Calcium carbonate/Cholecalciferol (Oral Pill),"1,500-1,000 var units",Oral Tablet,Oral Pill,"calcium 600 MG / vitamin D3 1000 UNT Oral Tablet, as calcium carbonate",prescription,864665,
Calcium carbonate/Cholecalciferol (Oral Pill),"1,500-200 var units",Oral Tablet,Oral Pill,"calcium 600 MG / vitamin D3 5 MCG (200 UNT) Oral Tablet, as calcium carbonate",prescription,809533,0
Calcium carbonate/Cholecalciferol (Oral Pill),"1,500-2,500 var units",Oral Capsule,Oral Pill,calcium 600 MG (as calcium carbonate) / vitamin D3 2500 UNT Oral Capsule,prescription,2123177,
Calcium carbonate/Cholecalciferol (Oral Pill),"1,500-500 var units",Oral Capsule,Oral Pill,"calcium 600 MG / vitamin D3 500 UNT Oral Capsule, as calcium carbonate",prescription,1094022,0
Calcium carbonate/Cholecalciferol (Chewable),"1,500-800 var units",Chewable Tablet,Chewable,"calcium 600 MG / vitamin D3 20 MCG (800 UNT) Chewable Tablet, as calcium carbonate",prescription,1442442,0
Calcium carbonate/Cholecalciferol (Oral Pill),"1,500-800 var units",Oral Tablet,Oral Pill,"calcium 600 MG / vitamin D3 20 MCG (800 UNT) Oral Tablet, as calcium carbonate",prescription,1310948,0
Calcium carbonate (Oral Pill),"1,500 mg",Oral Tablet,Oral Pill,"calcium 600 MG Oral Tablet, as calcium carbonate",prescription,237420,0
Calcium carbonate/Cholecalciferol/Vitamin K (Chewable),"1,625-0.0125-0.04 mg",Chewable Tablet,Chewable,"calcium 650 MG / vitamin D3 12.5 MCG (500 UNT) / vitamin K 40 MCG Chewable Tablet, as calcium carbonate",prescription,2275181,
Calcium carbonate (Oral Pill),"1,625 mg",Oral Tablet,Oral Pill,calcium carbonate 1625 MG (Ca 650 MG) Oral Tablet,prescription,1099878,0
Calcium carbonate/Folic acid/Magnesium carbonate (Oral Pill),200-1-400 mg,Oral Tablet,Oral Pill,calcium 80 MG / folic acid 1 MG / magnesium 115 MG Oral Tablet,prescription,259567,0
Calcium carbonate/Magnesium carbonate (Oral Pill),200-400 mg,Oral Tablet,Oral Pill,calcium carbonate 200 MG / magnesium carbonate 400 MG Oral Tablet,prescription,2601097,0
Calcium carbonate/Magnesium carbonate (Oral Pill),250-300 mg,Oral Tablet,Oral Pill,calcium carbonate 250 MG / magnesium carbonate 300 MG Oral Tablet,prescription,308895,0
Calcium carbonate/Magnesium oxide (Oral Pill),250-155 mg,Oral Tablet,Oral Pill,calcium carbonate 250 MG / magnesium oxide 155 MG Oral Tablet,prescription,1112810,
Calcium carbonate (Oral Pill),250 mg,Oral Tablet,Oral Pill,calcium carbonate 250 MG Oral Tablet,prescription,198527,
Calcium carbonate/Cholecalciferol (Oral Liquid),"1,250-400 var units/5ml",Oral Solution,Oral Liquid,calcium 500 MG / vitamin D3 400 UNT in 5 mL Oral Solution,prescription,1299811,
Calcium carbonate (Oral Liquid),1.25 g/5ml,Oral Suspension,Oral Liquid,calcium carbonate 1250 MG in 5 mL Oral Suspension,prescription,308891,0
Calcium carbonate/Cholecalciferol (Oral Pill),"2,500-800 var units",Oral Tablet,Oral Pill,"calcium 1000 MG / vitamin D3 800 UNT Oral Tablet, as calcium carbonate",prescription,1099861,
Calcium carbonate/Magnesium hydroxide/Simethicone (Chewable),280-128-20 mg,Chewable Tablet,Chewable,calcium carbonate 280 MG (Ca 112 MG) / magnesium hydroxide 128 MG / simethicone 20 MG Chewable Tablet,prescription,308841,0
Calcium carbonate/Magnesium chloride (Oral Pill),298-596 mg,Delayed Release Oral Tablet,Oral Pill,"calcium 119 MG / magnesium 71.5 MG Delayed Release Oral Tablet, as calcium carbonate and magnesium chloride",prescription,1245383,0
Calcium carbonate/Sodium fluoride (Oral Pill),364-8.3 mg,Oral Capsule,Oral Pill,"calcium 145 MG / fluoride 3.75 MG Oral Capsule, as calcium carbonate and sodium fluoride",prescription,198864,0
Calcium carbonate/Sodium fluoride (Oral Pill),364-8.3 mg,Oral Tablet,Oral Pill,"calcium 145 MG / fluoride 3.75 MG Oral Tablet, as calcium carbonate and sodium fluoride",prescription,198865,0
Calcium carbonate/Cholecalciferol/Magnesium oxide (Oral Pill),400-133-167 var units,Oral Tablet,Oral Pill,calcium carbonate 400 MG / magnesium oxide 167 MG / vitamin D3 133 UNT Oral Tablet,prescription,1001679,
Calcium carbonate/Simethicone (Chewable),400-40 mg,Chewable Tablet,Chewable,calcium carbonate 400 MG / simethicone 40 MG Chewable Tablet,prescription,1999195,0
Calcium carbonate (Chewable),400 mg,Chewable Tablet,Chewable,calcium carbonate 400 MG (Ca 170 MG) Chewable Tablet,prescription,317865,0
Calcium carbonate/Simethicone (Chewable),420-21 mg,Chewable Tablet,Chewable,calcium carbonate 420 MG (Ca 168) / simethicone 21 MG Chewable Tablet,prescription,237867,
Calcium carbonate (Chewable),420 mg,Chewable Tablet,Chewable,calcium carbonate 420 MG (Ca 168 MG) Chewable Tablet,prescription,313884,0
Calcium carbonate/Simethicone (Chewable),500-125 mg,Chewable Tablet,Chewable,calcium carbonate 500 MG (Ca 200 MG) / simethicone 125 MG Chewable Tablet,prescription,403826,0
Calcium carbonate (Chewable),500 mg,Chewable Tablet,Chewable,calcium carbonate 500 MG (Ca 200 MG) Chewable Tablet,prescription,308907,0
Calcium carbonate (Chewable),500 mg,Chewing Gum,Chewable,calcium carbonate 500 MG (Ca 200 MG) Chewing Gum,prescription,308906,0
Calcium carbonate/Magnesium hydroxide (Chewable),550-110 mg,Chewable Tablet,Chewable,calcium carbonate 550 MG (Ca 220 MG) / magnesium hydroxide 110 MG Chewable Tablet,prescription,242623,0
Calcium carbonate/Cholecalciferol (Oral Pill),600-0.01 mg,Oral Tablet,Oral Pill,calcium carbonate 600 MG / vitamin D3 10 MCG (400 UNT) Oral Tablet,prescription,668292,
Calcium carbonate/Cholecalciferol (Oral Pill),600-200 var units,Oral Tablet,Oral Pill,calcium carbonate 600 MG / vitamin D3 200 UNT Oral Tablet,prescription,360422,
Calcium carbonate/Cholecalciferol (Oral Pill),625-125 var units,Oral Tablet,Oral Pill,"calcium 250 MG / vitamin D3 125 UNT Oral Tablet, as calcium carbonate",prescription,809555,0
Calcium carbonate/Ergocalciferol (Oral Pill),625-125 var units,Oral Tablet,Oral Pill,"calcium 250 MG / vitamin D2 125 UNT Oral Tablet, as calcium carbonate",prescription,1001409,0
Calcium carbonate/Magnesium oxide (Oral Pill),625-155 mg,Oral Tablet,Oral Pill,calcium carbonate 625 MG / magnesium oxide 155 MG Oral Tablet,prescription,428634,
Calcium carbonate/Monofluorophosphate (Oral Pill),625-22.8 mg,Oral Tablet,Oral Pill,"calcium 250 MG / fluoride 3 MG Oral Tablet, as calcium carbonate and sodium monofluorophosphate",prescription,241166,0
Calcium carbonate (Oral Pill),648 mg,Oral Tablet,Oral Pill,calcium carbonate 648 MG (Ca 260 MG) Oral Tablet,prescription,577040,0
Calcium carbonate (Chewable),650 mg,Chewable Tablet,Chewable,calcium carbonate 650 MG (Ca 260 MG) Chewable Tablet,prescription,991370,
Calcium carbonate/Magnesium hydroxide/Simethicone (Chewable),675-135-60 mg,Chewable Tablet,Chewable,calcium carbonate 675 MG / magnesium hydroxide 135 MG / simethicone 60 MG Chewable Tablet,prescription,476553,
Calcium carbonate/Magnesium hydroxide (Chewable),675-135 mg,Chewable Tablet,Chewable,calcium carbonate 675 MG (Ca 270 MG) / magnesium hydroxide 135 MG Chewable Tablet,prescription,476549,0
Calcium carbonate/Simethicone (Chewable),750-250 mg,Chewable Tablet,Chewable,calcium carbonate 750 MG / simethicone 250 MG Chewable Tablet,prescription,1741562,0
Calcium carbonate/Simethicone (Chewable),750-80 mg,Chewable Tablet,Chewable,calcium carbonate 750 MG / simethicone 80 MG Chewable Tablet,prescription,1492387,0
Calcium carbonate (Chewable),750 mg,Chewable Tablet,Chewable,calcium carbonate 750 MG (Ca 300 MG) Chewable Tablet,prescription,308915,0
Calcium carbonate/Magnesium hydroxide/Simethicone (Oral Liquid),80-27-8 mg/ml,Oral Suspension,Oral Liquid,calcium carbonate 800 MG / magnesium hydroxide 270 MG / simethicone 80 MG in 10 mL Oral Suspension,prescription,1788932,0
Calcium carbonate/Magnesium hydroxide (Oral Liquid),400-135 mg/5ml,Oral Suspension,Oral Liquid,calcium carbonate 400 MG / magnesium hydroxide 135 MG in 5 mL Oral Suspension,prescription,237865,0
Calcium carbonate/Simethicone (Oral Liquid),400-40 mg/5ml,Oral Suspension,Oral Liquid,calcium carbonate 80 MG/mL / simethicone 8 MG/mL Oral Suspension,prescription,2599608,0
Calcium carbonate (Oral Liquid),400 mg/5ml,Oral Suspension,Oral Liquid,calcium carbonate 400 MG in 5 mL Oral Suspension,prescription,308901,0
Calcium carbonate/Famotidine/Magnesium hydroxide (Chewable),800-10-165 mg,Chewable Tablet,Chewable,famotidine 10 MG / calcium carbonate 800 MG / magnesium hydroxide 165 MG Chewable Tablet,prescription,283641,0
Calcium carbonate (Chewable),850 mg,Chewable Tablet,Chewable,calcium carbonate 850 MG (Ca 340 MG) Chewable Tablet,prescription,205074,0
Calcium carbonate/Magnesium carbonate (Oral Pill),975-232 mg,Oral Tablet,Oral Pill,calcium carbonate 975 MG / magnesium carbonate 232 MG Oral Tablet,prescription,2628926,0
Calcium chloride/Glucose/Lactate/Magnesium chloride/Sodium chloride (Intraperitoneal),0.00014-0.6-0.0000245-0.00368-0.0016 var units,Intraperitoneal Solution,Intraperitoneal,calcium chloride 0.00014 MEQ/ML / glucose 0.6 MG/ML / magnesium chloride 0.0000245 MEQ/ML / sodium chloride 0.00368 MEQ/ML / sodium lactate 0.0016 MEQ/ML Intraperitoneal Solution,prescription,800057,
